node_id,node_x,node_y,from_segment_id,to_segment_id,from_original_edge_id,to_original_edge_id,from_fclass,to_fclass,from_name,to_name,from_ref,to_ref,from_bridge,to_bridge,from_tunnel,to_tunnel,from_layer,to_layer,turn_angle_deg,same_nonempty_name_or_ref,review_decision,formal_graph_repaired
347,666906.101,3542515.337,27797139_000001,1395424247_000042,27797139,1395424247,secondary,service,雨花西路,,,,False,False,False,False,0.0,1.0,163.22435963464207,False,suspicious_grade_jump,False
347,666906.101,3542515.337,89783209_000001,1395424247_000042,89783209,1395424247,primary,service,雨花西路,,,,False,False,False,False,0.0,1.0,180.0,False,suspicious_grade_jump,False
347,666906.101,3542515.337,165486637_000028,1395424247_000041,165486637,1395424247,secondary,service,雨花西路,,,,False,False,False,False,0.0,1.0,180.0,False,suspicious_grade_jump,False
468,664351.524,3551626.477,30685569_000002,81520516_000001,30685569,81520516,steps,footway,,Citywall,,,False,False,False,False,0.0,1.0,144.96451701758753,False,suspicious_grade_jump,False
822,683514.291,3560779.751,36877725_000001,582737920_000002,36877725,582737920,unclassified,unclassified,,,,,False,True,False,False,0.0,1.0,87.82516285883995,False,suspicious_grade_jump,False
824,683510.689,3560683.194,36877725_000002,871590051_000001,36877725,871590051,unclassified,unclassified,,,,,False,True,False,False,0.0,1.0,91.27792164505914,False,suspicious_grade_jump,False
824,683510.689,3560683.194,36877725_000003,871590051_000001,36877725,871590051,unclassified,unclassified,,,,,False,True,False,False,0.0,1.0,90.90424853800738,False,suspicious_grade_jump,False
1695,671624.568,3546855.336,52508951_000006,668593714_000001,52508951,668593714,tertiary,service,清溪路,,,,False,True,False,False,0.0,1.0,89.51469327633247,False,suspicious_grade_jump,False
1695,671624.568,3546855.336,52508951_000007,668593714_000001,52508951,668593714,tertiary,service,清溪路,,,,False,True,False,False,0.0,1.0,90.48635770369471,False,suspicious_grade_jump,False
2500,668755.071,3544477.461,61969148_000008,585539415_000001,61969148,585539415,tertiary,pedestrian,平江府路,贡院街,,,False,False,False,False,0.0,-1.0,81.37925174653871,False,suspicious_grade_jump,False
2500,668755.071,3544477.461,61969148_000009,585539415_000001,61969148,585539415,tertiary,pedestrian,平江府路,贡院街,,,False,False,False,False,0.0,-1.0,92.97161757203602,False,suspicious_grade_jump,False
4802,678408.831,3547713.371,89637544_000004,1513870810_000001,89637544,1513870810,secondary,footway,中山门大街,,,,False,True,False,False,0.0,1.0,86.80613734205377,False,suspicious_grade_jump,False
4802,678408.831,3547713.371,89637544_000004,1513870810_000002,89637544,1513870810,secondary,footway,中山门大街,,,,False,True,False,False,0.0,1.0,91.26981674165738,False,suspicious_grade_jump,False
4802,678408.831,3547713.371,89637544_000005,1513870810_000001,89637544,1513870810,secondary,footway,中山门大街,,,,False,True,False,False,0.0,1.0,93.1913899038517,False,suspicious_grade_jump,False
4802,678408.831,3547713.371,89637544_000005,1513870810_000002,89637544,1513870810,secondary,footway,中山门大街,,,,False,True,False,False,0.0,1.0,88.73265601243716,False,suspicious_grade_jump,False
4938,668949.608,3543370.624,89638622_000008,1437053351_000001,89638622,1437053351,tertiary,service,江宁路,,,,False,False,False,False,0.0,-1.0,90.16670060114431,False,suspicious_grade_jump,False
4938,668949.608,3543370.624,89638622_000009,1437053351_000001,89638622,1437053351,tertiary,service,江宁路,,,,False,False,False,False,0.0,-1.0,89.79524036744736,False,suspicious_grade_jump,False
4939,668947.534,3543362.882,89638622_000009,606894142_000017,89638622,606894142,tertiary,residential,江宁路,剪子巷,,,False,False,False,False,0.0,-1.0,87.85234276559264,False,suspicious_grade_jump,False
4939,668947.534,3543362.882,89638622_000010,606894142_000017,89638622,606894142,tertiary,residential,江宁路,剪子巷,,,False,False,False,False,0.0,-1.0,92.11244962555764,False,suspicious_grade_jump,False
4949,668851.883,3543004.899,89638622_000019,1183596128_000001,89638622,1183596128,tertiary,living_street,江宁路,,,,False,False,False,False,0.0,-1.0,90.045057874866,False,suspicious_grade_jump,False
4949,668851.883,3543004.899,89638622_000020,1183596128_000001,89638622,1183596128,tertiary,living_street,江宁路,,,,False,False,False,False,0.0,-1.0,89.94590233698402,False,suspicious_grade_jump,False
5411,668847.847,3551641.077,89763392_000013,160752357_000001,89763392,160752357,tertiary,service,,,,,False,False,False,True,0.0,-1.0,146.74650884724696,False,suspicious_grade_jump,False
6055,666937.253,3542547.818,89783209_000001,1395424247_000042,89783209,1395424247,primary,service,雨花西路,,,,False,False,False,False,0.0,1.0,180.0,False,suspicious_grade_jump,False
6369,680156.422,3554574.588,89910184_000003,320020186_000002,89910184,320020186,primary,living_street,学林路,三江北路（学林恒力桥）,,,False,True,False,False,0.0,1.0,98.64306630034523,False,suspicious_grade_jump,False
6369,680156.422,3554574.588,89910184_000003,320020186_000003,89910184,320020186,primary,living_street,学林路,三江北路（学林恒力桥）,,,False,True,False,False,0.0,1.0,95.06341960705174,False,suspicious_grade_jump,False
6369,680156.422,3554574.588,89910184_000004,320020186_000002,89910184,320020186,primary,living_street,学林路,三江北路（学林恒力桥）,,,False,True,False,False,0.0,1.0,81.36688513507757,False,suspicious_grade_jump,False
6369,680156.422,3554574.588,89910184_000004,320020186_000003,89910184,320020186,primary,living_street,学林路,三江北路（学林恒力桥）,,,False,True,False,False,0.0,1.0,84.92662895752547,False,suspicious_grade_jump,False
7539,666114.655,3549609.825,91828923_000004,1459031881_000001,91828923,1459031881,tertiary,unclassified,老菜市,,,,False,False,False,True,0.0,-1.0,87.86136691946152,False,suspicious_grade_jump,False
7539,666114.655,3549609.825,91828923_000005,1459031881_000001,91828923,1459031881,tertiary,unclassified,老菜市,,,,False,False,False,True,0.0,-1.0,92.12022928051023,False,suspicious_grade_jump,False
7544,666217.75,3549629.528,91828923_000009,1459031880_000001,91828923,1459031880,tertiary,unclassified,老菜市,,,,False,False,False,True,0.0,-1.0,90.20572497377157,False,suspicious_grade_jump,False
7544,666217.75,3549629.528,91828923_000010,1459031880_000001,91828923,1459031880,tertiary,unclassified,老菜市,,,,False,False,False,True,0.0,-1.0,89.78042447704179,False,suspicious_grade_jump,False
8014,667538.852,3543818.961,91997118_000012,1524823332_000039,91997118,1524823332,residential,service,钓鱼台,,,,False,False,False,False,0.0,1.0,59.984826832977596,False,suspicious_grade_jump,False
8014,667538.852,3543818.961,91997118_000012,1524823332_000040,91997118,1524823332,residential,service,钓鱼台,,,,False,False,False,False,0.0,1.0,118.4594810310383,False,suspicious_grade_jump,False
8014,667538.852,3543818.961,91997118_000013,1524823332_000039,91997118,1524823332,residential,service,钓鱼台,,,,False,False,False,False,0.0,1.0,119.98569108328402,False,suspicious_grade_jump,False
8014,667538.852,3543818.961,91997118_000013,1524823332_000040,91997118,1524823332,residential,service,钓鱼台,,,,False,False,False,False,0.0,1.0,61.5700010527001,False,suspicious_grade_jump,False
8014,667538.852,3543818.961,323774009_000004,1524823332_000039,323774009,1524823332,primary,service,中山南路,,,,False,False,False,False,0.0,1.0,180.0,False,suspicious_grade_jump,False
8014,667538.852,3543818.961,323774009_000005,1524823332_000040,323774009,1524823332,primary,service,中山南路,,,,False,False,False,False,0.0,1.0,180.0,False,suspicious_grade_jump,False
8203,668606.854,3543175.643,91997679_000001,1183596106_000001,91997679,1183596106,residential,path,边营,,,,False,False,False,False,0.0,-1.0,87.14654677527378,False,suspicious_grade_jump,False
8203,668606.854,3543175.643,91997679_000002,1183596106_000001,91997679,1183596106,residential,path,边营,,,,False,False,False,False,0.0,-1.0,92.85859196099341,False,suspicious_grade_jump,False
8250,668721.92,3543415.274,91997686_000003,606894142_000008,91997686,606894142,residential,residential,转龙巷,剪子巷,,,False,False,False,False,0.0,-1.0,86.8544857442857,False,suspicious_grade_jump,False
8250,668721.92,3543415.274,91997686_000003,606894142_000009,91997686,606894142,residential,residential,转龙巷,剪子巷,,,False,False,False,False,0.0,-1.0,92.37491774732933,False,suspicious_grade_jump,False
8250,668721.92,3543415.274,205418383_000001,606894142_000008,205418383,606894142,residential,residential,转龙巷,剪子巷,,,False,False,False,False,0.0,-1.0,94.58008349783081,False,suspicious_grade_jump,False
8250,668721.92,3543415.274,205418383_000001,606894142_000009,205418383,606894142,residential,residential,转龙巷,剪子巷,,,False,False,False,False,0.0,-1.0,86.19051301055416,False,suspicious_grade_jump,False
8261,668875.395,3543379.31,91997687_000010,606894142_000014,91997687,606894142,living_street,residential,小心桥东街,剪子巷,,,False,False,False,False,0.0,-1.0,90.67123302348512,False,suspicious_grade_jump,False
8261,668875.395,3543379.31,91997687_000010,606894142_000015,91997687,606894142,living_street,residential,小心桥东街,剪子巷,,,False,False,False,False,0.0,-1.0,89.6940780980287,False,suspicious_grade_jump,False
8261,668875.395,3543379.31,91997687_000011,606894142_000014,91997687,606894142,living_street,residential,小心桥东街,剪子巷,,,False,False,False,False,0.0,-1.0,90.91784447538008,False,suspicious_grade_jump,False
8261,668875.395,3543379.31,91997687_000011,606894142_000015,91997687,606894142,living_street,residential,小心桥东街,剪子巷,,,False,False,False,False,0.0,-1.0,88.71684440310611,False,suspicious_grade_jump,False
8450,669005.608,3544614.719,92048231_000002,585541249_000001,92048231,585541249,living_street,footway,,桃叶桥,,,False,True,False,False,0.0,1.0,94.28733954472344,False,suspicious_grade_jump,False
8450,669005.608,3544614.719,92048231_000003,585541249_000001,92048231,585541249,living_street,footway,,桃叶桥,,,False,True,False,False,0.0,1.0,85.71280223289602,False,suspicious_grade_jump,False
9738,672386.359,3535432.588,92362510_000004,375476721_000001,92362510,375476721,unclassified,residential,通用磨坊路,,,,False,True,False,False,0.0,0.0,89.81290919115602,False,suspicious_grade_jump,False
9738,672386.359,3535432.588,92362510_000005,375476721_000001,92362510,375476721,unclassified,residential,通用磨坊路,,,,False,True,False,False,0.0,0.0,90.18648684337079,False,suspicious_grade_jump,False
11753,670482.825,3542645.4,93653975_000013,776197994_000001,93653975,776197994,residential,residential,,,,,False,True,False,False,0.0,1.0,45.56695794430718,False,suspicious_grade_jump,False
12127,662356.834,3542765.606,94496615_000001,121782846_000013,94496615,121782846,service,service,,,,,False,False,False,False,0.0,-1.0,88.79418359497686,False,suspicious_grade_jump,False
12127,662356.834,3542765.606,94496615_000001,121782846_000014,94496615,121782846,service,service,,,,,False,False,False,False,0.0,-1.0,75.82449250997718,False,suspicious_grade_jump,False
12535,663073.286,3536212.12,94497834_000032,1475974250_000001,94497834,1475974250,cycleway,cycleway,,,,,False,True,False,False,0.0,1.0,92.11513707336465,False,suspicious_grade_jump,False
12535,663073.286,3536212.12,94497834_000033,1475974250_000001,94497834,1475974250,cycleway,cycleway,,,,,False,True,False,False,0.0,1.0,87.28666902273568,False,suspicious_grade_jump,False
12536,663103.293,3536213.519,94497834_000033,1475974249_000004,94497834,1475974249,cycleway,cycleway,,,,,False,True,False,False,0.0,1.0,91.89614238054405,False,suspicious_grade_jump,False
12536,663103.293,3536213.519,94497834_000034,1475974249_000004,94497834,1475974249,cycleway,cycleway,,,,,False,True,False,False,0.0,1.0,88.08089288480417,False,suspicious_grade_jump,False
12591,664122.261,3537045.776,94497834_000088,1475974233_000001,94497834,1475974233,cycleway,cycleway,,,,,False,True,False,False,0.0,1.0,102.72981062709023,False,suspicious_grade_jump,False
12760,661927.491,3536595.124,94497846_000017,166198200_000001,94497846,166198200,cycleway,footway,,,,,False,True,False,False,0.0,1.0,89.37903686763318,False,suspicious_grade_jump,False
12760,661927.491,3536595.124,94497846_000018,166198200_000001,94497846,166198200,cycleway,footway,,,,,False,True,False,False,0.0,1.0,87.85340457492228,False,suspicious_grade_jump,False
12801,663073.15,3536035.001,94497846_000058,1475974250_000004,94497846,1475974250,cycleway,cycleway,,,,,False,True,False,False,0.0,1.0,91.95798893658983,False,suspicious_grade_jump,False
12801,663073.15,3536035.001,94497846_000059,1475974250_000004,94497846,1475974250,cycleway,cycleway,,,,,False,True,False,False,0.0,1.0,90.72345619282481,False,suspicious_grade_jump,False
12802,663105.698,3536035.387,94497846_000059,1475974249_000001,94497846,1475974249,cycleway,cycleway,,,,,False,True,False,False,0.0,1.0,90.09373240389594,False,suspicious_grade_jump,False
12802,663105.698,3536035.387,94497846_000060,1475974249_000001,94497846,1475974249,cycleway,cycleway,,,,,False,True,False,False,0.0,1.0,89.92054831001003,False,suspicious_grade_jump,False
12903,671109.219,3552847.317,94670979_000039,853099450_000001,94670979,853099450,tertiary,residential,恒嘉路,,,,False,True,False,False,0.0,1.0,114.08135641366958,False,suspicious_grade_jump,False
12903,671109.219,3552847.317,372790242_000001,853099450_000001,372790242,853099450,tertiary,residential,恒嘉路,,,,False,True,False,False,0.0,1.0,71.13185232486636,False,suspicious_grade_jump,False
13602,669601.443,3548938.87,95918073_000001,290148744_000030,95918073,290148744,steps,footway,,环湖路,,,True,False,False,False,0.0,0.0,96.06412270455584,False,suspicious_grade_jump,False
13602,669601.443,3548938.87,95918073_000001,290148744_000031,95918073,290148744,steps,footway,,环湖路,,,True,False,False,False,0.0,0.0,83.838899771005,False,suspicious_grade_jump,False
13606,669576.903,3548944.894,95918074_000001,290148744_000029,95918074,290148744,steps,footway,,环湖路,,,True,False,False,False,0.0,0.0,109.76832098366087,False,suspicious_grade_jump,False
13606,669576.903,3548944.894,95918074_000001,290148744_000030,95918074,290148744,steps,footway,,环湖路,,,True,False,False,False,0.0,0.0,72.40143057293207,False,suspicious_grade_jump,False
13653,669248.818,3549245.737,95918720_000001,1443662824_000001,95918720,1443662824,service,footway,观山桥,,,,True,False,False,False,1.0,0.0,87.15633994140204,False,suspicious_grade_jump,False
13653,669248.818,3549245.737,95918720_000002,1443662824_000001,95918720,1443662824,service,footway,观山桥,,,,True,False,False,False,1.0,0.0,92.81057933844548,False,suspicious_grade_jump,False
13701,669344.422,3550378.378,1278075241_000001,1278075242_000001,1278075241,1278075242,footway,footway,,,,,True,False,False,False,1.0,0.0,78.92172612736604,False,suspicious_grade_jump,False
13701,669344.422,3550378.378,1278075241_000001,1278075247_000001,1278075241,1278075247,footway,footway,,,,,True,False,False,False,1.0,0.0,89.97951520106622,False,suspicious_grade_jump,False
15960,670015.601,3548935.617,100944896_000013,1279082430_000008,100944896,1279082430,footway,footway,环湖路,,,,False,True,False,False,0.0,1.0,140.29040500501213,False,suspicious_grade_jump,False
16203,664007.053,3549259.931,101300823_000001,854927688_000007,101300823,854927688,primary,footway,定淮门大街,,,,False,False,False,True,0.0,-1.0,93.20292232852321,False,suspicious_grade_jump,False
16203,664007.053,3549259.931,101300823_000002,854927688_000007,101300823,854927688,primary,footway,定淮门大街,,,,False,False,False,True,0.0,-1.0,86.80638452850985,False,suspicious_grade_jump,False
16882,668543.358,3544296.182,105436058_000001,585539415_000009,105436058,585539415,pedestrian,pedestrian,贡院西街,贡院街,,,False,False,False,False,0.0,-1.0,101.69980438942315,False,suspicious_grade_jump,False
16887,668494.337,3544410.35,105436058_000005,585538329_000009,105436058,585538329,pedestrian,footway,贡院西街,,,,False,False,False,False,0.0,-1.0,113.5757916279883,False,suspicious_grade_jump,False
16887,668494.337,3544410.35,105436058_000006,585538329_000009,105436058,585538329,pedestrian,footway,贡院西街,,,,False,False,False,False,0.0,-1.0,69.34676030926677,False,suspicious_grade_jump,False
16908,668464.22,3544232.85,105436066_000001,585539415_000012,105436066,585539415,pedestrian,pedestrian,,贡院街,,,False,False,False,False,0.0,-1.0,88.30553339840016,False,suspicious_grade_jump,False
16908,668464.22,3544232.85,105436066_000001,585539415_000013,105436066,585539415,pedestrian,pedestrian,,贡院街,,,False,False,False,False,0.0,-1.0,89.30338736439492,False,suspicious_grade_jump,False
16910,668658.799,3544388.848,105436068_000001,585539415_000003,105436068,585539415,footway,pedestrian,小石坝街,贡院街,,,False,False,False,False,0.0,-1.0,89.56028762116391,False,suspicious_grade_jump,False
16910,668658.799,3544388.848,105436068_000001,585539415_000004,105436068,585539415,footway,pedestrian,小石坝街,贡院街,,,False,False,False,False,0.0,-1.0,86.95236136453386,False,suspicious_grade_jump,False
16910,668658.799,3544388.848,105436068_000002,585539415_000003,105436068,585539415,footway,pedestrian,小石坝街,贡院街,,,False,False,False,False,0.0,-1.0,111.29456358240381,False,suspicious_grade_jump,False
16910,668658.799,3544388.848,105436068_000002,585539415_000004,105436068,585539415,footway,pedestrian,小石坝街,贡院街,,,False,False,False,False,0.0,-1.0,72.19278743189842,False,suspicious_grade_jump,False
16913,668646.531,3544378.864,105436069_000001,585539415_000004,105436069,585539415,footway,pedestrian,,贡院街,,,False,False,False,False,0.0,-1.0,91.62996271381893,False,suspicious_grade_jump,False
16913,668646.531,3544378.864,105436069_000001,585539415_000005,105436069,585539415,footway,pedestrian,,贡院街,,,False,False,False,False,0.0,-1.0,81.38213429802613,False,suspicious_grade_jump,False
17568,676544.502,3549112.353,112326683_000161,272579916_000059,112326683,272579916,service,service,青年路,37 拥翠亭到五棵松,,,False,False,False,False,0.0,5.0,76.03799563086149,False,suspicious_grade_jump,False
17568,676544.502,3549112.353,272579916_000059,282848485_000001,272579916,282848485,service,footway,37 拥翠亭到五棵松,,,,False,False,False,False,5.0,0.0,117.09316012745309,False,suspicious_grade_jump,False
17616,682288.491,3555767.216,118862316_000004,1051736218_000001,118862316,1051736218,residential,footway,任之北路,,,,False,False,False,False,0.0,1.0,63.30640622989657,False,suspicious_grade_jump,False
17616,682288.491,3555767.216,118862316_000005,1051736218_000001,118862316,1051736218,residential,footway,任之北路,,,,False,False,False,False,0.0,1.0,85.26568017944794,False,suspicious_grade_jump,False
17702,682448.544,3555608.484,118862381_000011,1051727044_000001,118862381,1051727044,residential,footway,,百工桥,,,False,True,False,False,0.0,1.0,98.63195768835988,False,suspicious_grade_jump,False
17702,682448.544,3555608.484,118862381_000012,1051727044_000001,118862381,1051727044,residential,footway,,百工桥,,,False,True,False,False,0.0,1.0,73.67529634261207,False,suspicious_grade_jump,False
17902,683226.567,3554739.164,118932304_000045,897362940_000002,118932304,897362940,service,service,,,,,False,True,False,False,0.0,1.0,89.66958743109174,False,suspicious_grade_jump,False
17902,683226.567,3554739.164,118932304_000046,897362940_000002,118932304,897362940,service,service,,,,,False,True,False,False,0.0,1.0,91.20527388236279,False,suspicious_grade_jump,False
18988,662474.946,3542753.036,121782844_000005,121782846_000017,121782844,121782846,service,service,,,,,False,False,False,False,0.0,-1.0,71.29318214389565,False,suspicious_grade_jump,False
18988,662474.946,3542753.036,121782844_000005,121782846_000018,121782844,121782846,service,service,,,,,False,False,False,False,0.0,-1.0,94.69627923890086,False,suspicious_grade_jump,False
18992,662583.529,3542918.72,121782845_000005,121782846_000023,121782845,121782846,service,service,,,,,False,False,False,False,0.0,-1.0,70.9655195953571,False,suspicious_grade_jump,False
18992,662583.529,3542918.72,121782845_000005,121782846_000024,121782845,121782846,service,service,,,,,False,False,False,False,0.0,-1.0,96.18764548994069,False,suspicious_grade_jump,False
18993,662518.103,3543025.167,121782846_000001,121782847_000006,121782846,121782847,service,service,,,,,False,False,False,False,-1.0,0.0,89.93679496109995,False,suspicious_grade_jump,False
18993,662518.103,3543025.167,121782846_000028,121782847_000006,121782846,121782847,service,service,,,,,False,False,False,False,-1.0,0.0,78.08272731330241,False,suspicious_grade_jump,False
19006,662369.734,3542760.732,121782846_000014,549384984_000007,121782846,549384984,service,service,,,,,False,False,False,False,-1.0,0.0,102.20486498922092,False,suspicious_grade_jump,False
19006,662369.734,3542760.732,121782846_000015,549384984_000007,121782846,549384984,service,service,,,,,False,False,False,False,-1.0,0.0,77.28868085295386,False,suspicious_grade_jump,False
19017,662524.21,3543020.207,121782846_000027,1315473717_000006,121782846,1315473717,service,service,,,,,False,False,False,False,-1.0,0.0,78.19478022879123,False,suspicious_grade_jump,False
19017,662524.21,3543020.207,121782846_000028,1315473717_000006,121782846,1315473717,service,service,,,,,False,False,False,False,-1.0,0.0,100.17457971278829,False,suspicious_grade_jump,False
19534,658868.294,3554617.536,318916106_000001,1062268559_000001,318916106,1062268559,secondary,unclassified,江北大道,浦厂路,,,False,True,False,False,0.0,1.0,86.18924710639244,False,suspicious_grade_jump,False
19534,658868.294,3554617.536,318916622_000018,1062268559_000001,318916622,1062268559,secondary,unclassified,丁家圩梗路,浦厂路,,,False,True,False,False,0.0,1.0,90.16630429020793,False,suspicious_grade_jump,False
19582,674829.501,3545386.358,136510945_000008,758671175_000001,136510945,758671175,living_street,service,友谊路,理工大学2号路,,,False,True,False,False,0.0,1.0,89.33778154241492,False,suspicious_grade_jump,False
19582,674829.501,3545386.358,136510945_000009,758671175_000001,136510945,758671175,living_street,service,友谊路,理工大学2号路,,,False,True,False,False,0.0,1.0,91.61115131089814,False,suspicious_grade_jump,False
19587,675090.571,3545648.05,133117330_000004,758671171_000001,133117330,758671171,living_street,residential,理工大学1号路,,,,False,True,False,False,0.0,1.0,82.90536517238313,False,suspicious_grade_jump,False
19587,675090.571,3545648.05,133117330_000005,758671171_000001,133117330,758671171,living_street,residential,理工大学1号路,,,,False,True,False,False,0.0,1.0,96.2257996725627,False,suspicious_grade_jump,False
19593,675062.537,3545391.365,133117330_000010,758671169_000001,133117330,758671169,living_street,living_street,理工大学1号路,友谊路,,,False,True,False,False,0.0,1.0,82.52687090244476,False,suspicious_grade_jump,False
19593,675062.537,3545391.365,140265539_000024,758671173_000001,140265539,758671173,living_street,living_street,,理工大学1号路,,,False,True,False,False,0.0,1.0,89.76764832364542,False,suspicious_grade_jump,False
19614,676945.415,3545180.731,133607075_000008,835855721_000001,133607075,835855721,unclassified,residential,双拜岗路,,,,False,False,False,False,-1.0,0.0,122.17091523687704,False,suspicious_grade_jump,False
19749,670949.716,3543110.309,134104485_000008,1492492947_000001,134104485,1492492947,residential,footway,,,,,False,True,False,False,0.0,1.0,88.1476731162931,False,suspicious_grade_jump,False
19749,670949.716,3543110.309,134104485_000009,1492492947_000001,134104485,1492492947,residential,footway,,,,,False,True,False,False,0.0,1.0,91.85291281463404,False,suspicious_grade_jump,False
19964,672322.906,3542904.951,135149854_000001,1492492929_000001,135149854,1492492929,pedestrian,footway,七桥瓮,,,,True,False,False,False,1.0,0.0,87.20650290021726,False,suspicious_grade_jump,False
19981,673037.338,3543046.592,135149858_000002,931647256_000001,135149858,931647256,service,service,,,,,True,False,False,False,1.0,0.0,51.824892326707854,False,suspicious_grade_jump,False
20109,664767.216,3553883.044,135986242_000002,135986246_000001,135986242,135986246,residential,footway,宝塔桥,,,,True,False,False,False,0.0,0.0,95.38447091465153,False,suspicious_grade_jump,False
20149,673913.086,3544845.286,135989963_000001,135989970_000001,135989963,135989970,living_street,living_street,,,,,False,True,False,False,0.0,0.0,100.38768789699104,False,suspicious_grade_jump,False
20149,673913.086,3544845.286,135989970_000001,137388565_000021,135989970,137388565,living_street,living_street,,东胜巷,,,True,False,False,False,0.0,0.0,79.8011023652696,False,suspicious_grade_jump,False
20820,673433.585,3545426.999,159607177_000001,159607178_000001,159607177,159607178,service,service,,,,,False,False,False,False,0.0,-1.0,88.39376197347204,False,suspicious_grade_jump,False
21402,661078.466,3542127.406,138674375_000002,191420688_000006,138674375,191420688,primary,footway,河西大街,,,,False,True,False,False,0.0,1.0,101.8486091949131,False,suspicious_grade_jump,False
21402,661078.466,3542127.406,138674375_000002,191420688_000007,138674375,191420688,primary,footway,河西大街,,,,False,True,False,False,0.0,1.0,79.04493491920586,False,suspicious_grade_jump,False
21402,661078.466,3542127.406,138674375_000003,191420688_000006,138674375,191420688,primary,footway,河西大街,,,,False,True,False,False,0.0,1.0,78.14373721801734,False,suspicious_grade_jump,False
21402,661078.466,3542127.406,138674375_000003,191420688_000007,138674375,191420688,primary,footway,河西大街,,,,False,True,False,False,0.0,1.0,100.96271866786371,False,suspicious_grade_jump,False
21835,668833.536,3544683.386,139850964_000001,158584959_000027,139850964,158584959,pedestrian,secondary,桃叶渡,建康路,,,False,False,False,False,-1.0,0.0,81.21200433657933,False,suspicious_grade_jump,False
21835,668833.536,3544683.386,139850964_000001,158584959_000028,139850964,158584959,pedestrian,secondary,桃叶渡,建康路,,,False,False,False,False,-1.0,0.0,100.58855539064467,False,suspicious_grade_jump,False
21836,668838.156,3544665.098,139850964_000001,617097820_000009,139850964,617097820,pedestrian,residential,桃叶渡,新姚家巷,,,False,False,False,False,-1.0,0.0,73.94198482300418,False,suspicious_grade_jump,False
21836,668838.156,3544665.098,139850964_000002,617097820_000009,139850964,617097820,pedestrian,residential,桃叶渡,新姚家巷,,,False,False,False,False,-1.0,0.0,95.5469198084168,False,suspicious_grade_jump,False
23725,668101.676,3552237.984,274199914_000006,274199982_000001,274199914,274199982,tertiary,steps,红山南路,下穿铁路隧道,,,False,False,False,True,0.0,-1.0,83.93691189412483,False,suspicious_grade_jump,False
23725,668101.676,3552237.984,274199914_000007,274199982_000001,274199914,274199982,tertiary,steps,红山南路,下穿铁路隧道,,,False,False,False,True,0.0,-1.0,99.4209601273672,False,suspicious_grade_jump,False
24112,673539.631,3547280.795,146635645_000020,1435450094_000001,146635645,1435450094,tertiary,footway,陵园路,,,,False,False,False,False,0.0,-1.0,93.65062174237752,False,suspicious_grade_jump,False
24112,673539.631,3547280.795,146635645_000020,1435450094_000002,146635645,1435450094,tertiary,footway,陵园路,,,,False,False,False,False,0.0,-1.0,86.35437151129497,False,suspicious_grade_jump,False
24112,673539.631,3547280.795,146635645_000021,1435450094_000001,146635645,1435450094,tertiary,footway,陵园路,,,,False,False,False,False,0.0,-1.0,86.34891135410429,False,suspicious_grade_jump,False
24112,673539.631,3547280.795,146635645_000021,1435450094_000002,146635645,1435450094,tertiary,footway,陵园路,,,,False,False,False,False,0.0,-1.0,93.64609539222324,False,suspicious_grade_jump,False
24441,662969.698,3550422.315,147397710_000026,668612574_000006,147397710,668612574,tertiary,footway,淮滨路,红云桥,,,False,True,False,False,0.0,1.0,137.5391892976106,False,suspicious_grade_jump,False
24443,663023.631,3550393.947,147397710_000028,854927667_000001,147397710,854927667,tertiary,service,淮滨路,,,,False,False,False,False,0.0,-1.0,93.20691605729426,False,suspicious_grade_jump,False
24443,663023.631,3550393.947,147397710_000029,854927667_000001,147397710,854927667,tertiary,service,淮滨路,,,,False,False,False,False,0.0,-1.0,89.6449943515244,False,suspicious_grade_jump,False
24490,664350.044,3549479.089,147397710_000076,854927684_000007,147397710,854927684,tertiary,footway,淮滨路,,,,False,True,False,False,0.0,1.0,88.44466926782066,False,suspicious_grade_jump,False
24490,664350.044,3549479.089,147397710_000077,854927684_000007,147397710,854927684,tertiary,footway,淮滨路,,,,False,True,False,False,0.0,1.0,61.69105953227188,False,suspicious_grade_jump,False
24536,664486.275,3549536.969,147398363_000001,854927687_000017,147398363,854927687,tertiary,footway,石头城路,,,,False,True,False,False,0.0,1.0,86.4329793377512,False,suspicious_grade_jump,False
24536,664486.275,3549536.969,147398363_000002,854927687_000017,147398363,854927687,tertiary,footway,石头城路,,,,False,True,False,False,0.0,1.0,90.61104893240876,False,suspicious_grade_jump,False
24536,664486.275,3549536.969,854927687_000017,854927691_000012,854927687,854927691,footway,footway,,,,,True,False,False,False,1.0,0.0,156.77145416137031,False,suspicious_grade_jump,False
24662,664031.547,3549233.012,147399446_000001,854927687_000001,147399446,854927687,tertiary,footway,,,,,False,True,False,False,0.0,1.0,89.87097315227138,False,suspicious_grade_jump,False
24662,664031.547,3549233.012,147399446_000002,854927687_000001,147399446,854927687,tertiary,footway,,,,,False,True,False,False,0.0,1.0,126.82135900069989,False,suspicious_grade_jump,False
24694,668195.79,3545360.643,147399827_000002,1447076785_000001,147399827,1447076785,secondary,service,洪武路,,,,False,False,False,False,0.0,-1.0,89.80543148723245,False,suspicious_grade_jump,False
24694,668195.79,3545360.643,147399827_000003,1447076785_000001,147399827,1447076785,secondary,service,洪武路,,,,False,False,False,False,0.0,-1.0,90.20038004652741,False,suspicious_grade_jump,False
